"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 15 13:10:52 UTC 2026","Fri May 15 13:10:52 UTC 2026","535","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testSecurePageMessage","testSecurePageMessage","Check the success message after valid login"
"passed","Fri May 15 13:10:56 UTC 2026","Fri May 15 13:10:56 UTC 2026","305","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testValidLogin","testValidLogin","Verify login with valid credentials and display of SecurePage"
"passed","Fri May 15 13:10:48 UTC 2026","Fri May 15 13:10:48 UTC 2026","476","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testSecurePageAccessWithoutLogin","testSecurePageAccessWithoutLogin","Verify access to SecurePage without login"
"passed","Fri May 15 13:10:40 UTC 2026","Fri May 15 13:10:41 UTC 2026","326","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testInvalidLoginDataProvider","testInvalidLoginDataProvider","Check invalid login using DataProvider."
"passed","Fri May 15 13:10:46 UTC 2026","Fri May 15 13:10:47 UTC 2026","629","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testLogoutFunctionality","testLogoutFunctionality","Check the Logout functionality"
"passed","Fri May 15 13:10:44 UTC 2026","Fri May 15 13:10:45 UTC 2026","308","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testInvalidLoginDataProvider","testInvalidLoginDataProvider","Check invalid login using DataProvider."
"passed","Fri May 15 13:10:37 UTC 2026","Fri May 15 13:10:38 UTC 2026","393","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testInvalidLoginDataProvider","testInvalidLoginDataProvider","Check invalid login using DataProvider."
"passed","Fri May 15 13:10:42 UTC 2026","Fri May 15 13:10:42 UTC 2026","318","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testInvalidLoginDataProvider","testInvalidLoginDataProvider","Check invalid login using DataProvider."
"passed","Fri May 15 13:10:50 UTC 2026","Fri May 15 13:10:51 UTC 2026","745","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testSecurePageElements","testSecurePageElements","Check the visible elements on SecurePage"
"passed","Fri May 15 13:10:53 UTC 2026","Fri May 15 13:10:54 UTC 2026","459","HerokuApp Suite","HerokuApp Tests","com.victoria.herokuapp.LoginTest","com.victoria.herokuapp.LoginTest","testSecurePageURL","testSecurePageURL","Check the Secure Page URL after a valid login"
